	file_name	dates
142	064 - Synopsys Inc v Mentor Graphics Corp	October 4 2017
143	036 - Starhome GmbH v AT And T Mobility LLC	Feb 24 2014
144	029 - Motiva LLC v International Trade Com'n	May 13 2013
145	058 - OSRAM Sylvania Inc v American Induction Technologies Inc	September 7 2017
146	028 - Shenyang Yuanda Aluminum Industry Engineering Co Ltd v US	March 31 2016
147	055 - Vederi LLC v Google Inc	March 14 2014
148	085 - Clare v Chrysler Group LLC	March 31 2016
149	073 - SAS Institute Inc v Complementsoft LLC	November 7 2016
150	061 - AFTG-TG LLC v Nuvoton Technology Corp	June 3 2015
151	060 - In re Smith	March 10 2016
152	026 - Commil USA LLC v Cisco Systems Inc	Oct 25 2013
153	077 - Carnegie Mellon University v Marvell Technology Group Ltd	July 9 2018
154	092 - Sonix Technology Co Ltd v Publications International Ltd	February 8 2018
155	059 - Solvay SA v Honeywell Intern Inc	Feb 12 2014
156	071 - Dependable Packaging Solutions Inc v US	July 9 2014
157	003 - Comcast IP Holdings I LLC v Sprint Communications Company LP	March 7 2017
158	023 - Suprema Inc v International Trade Com'n	August 28 2017
