Hotel,Treatment,Num_Towels_Reused,reuse_dummy_recode,days_stay_max,daterank,avg_num_towels_reused,avg_reuse_rate,unique_spell
La Grange,Control,2,1,3,2,1,0.5,1043417952
La Grange,Control,0,0,7,4,1.166667,0.3333333,1040217947
La Grange,Treatment,,,1,1,,,1022217951
La Grange,Control,0,0,3,2,0,0,1020417944
La Grange,Control,2,1,1,1,2,1,1020617952
La Grange,Treatment,4,1,7,1,4,1,1064217926
La Grange,Control,0,0,15,10,0.2,0.1,1021417947
La Grange,Control,0,0,7,4,2.2,0.6,1043417930
La Grange,Treatment,0,0,1,1,0,0,1060217957
La Grange,Control,4,1,18,5,2.166667,0.6666667,1044017922
La Grange,Control,0,0,7,4,1,0.4,1044217940
La Grange,Control,0,0,15,8,0.2,0.1,1021417947
La Grange,Control,0,0,7,1,0.6666667,0.3333333,1043417936
La Grange,Control,0,0,48,8,1.52381,0.6190476,1041817907
La Grange,Treatment,0,0,1,1,0,0,1041617957
La Grange,Treatment,0,0,10,4,1.5,0.5,1022217923
La Grange,Treatment,0,0,14,5,0.6666667,0.3333333,1044617921
La Grange,Treatment,2,1,1,1,2,1,1041417950
La Grange,Control,2,1,7,4,3.2,1,1042617929
La Grange,Treatment,0,0,23,5,1.857143,0.7142857,1042217915
La Grange,Treatment,0,0,10,2,1,0.3333333,1041617930
La Grange,Treatment,0,0,13,7,0,0,1044617942
La Grange,Treatment,4,1,35,2,2,0.5,1043617924
La Grange,Control,2,1,3,1,2,1,1040617939
La Grange,Control,1,1,1,1,1,1,1021817948
La Grange,Treatment,2,1,2,2,1.5,1,1021217953
La Grange,Treatment,3,1,7,1,1,0.5,1040817953
La Grange,Control,2,1,1,1,2,1,1042817945
La Grange,Control,2,1,15,1,1.5,0.5,1042017918
La Grange,Control,0,0,15,4,1.5,0.5,1042017918
La Grange,Control,1,1,1,1,1,1,1021617949
La Grange,Treatment,0,0,1,1,0,0,1041417932
La Grange,Treatment,0,0,3,2,0.3333333,0.3333333,1041617952
La Grange,Treatment,1,1,10,3,1,0.3333333,1041617930
La Grange,Control,2,1,5,1,2,1,1020417938
La Grange,Control,3,1,7,4,1.142857,0.4285714,1044017947
La Grange,Treatment,2,1,3,2,2.5,1,1043617943
La Grange,Control,1,1,1,1,1,1,1040417947
La Grange,Control,0,0,1,1,0,0,1042417956
La Grange,Treatment,3,1,2,1,3,1,1042217948
La Grange,Treatment,4,1,7,1,4,1,1062417926
La Grange,Treatment,1,1,14,8,1.625,0.625,1041017934
La Grange,Treatment,4,1,1,1,4,1,1022217945
La Grange,Control,1,1,7,2,0.3333333,0.3333333,1044017954
La Grange,Treatment,1,1,1,1,1,1,1020817949
La Grange,Treatment,1,1,7,3,1,0.5,1040817953
La Grange,Control,0,0,2,2,1,0.5,1043017933
La Grange,Treatment,0,0,2,1,1,0.5,1040817931
La Grange,Treatment,1,1,7,1,0.1428571,0.1428571,1040817946
La Grange,Treatment,1,1,14,2,0.5714286,0.5714286,1041017948
La Grange,Control,2,1,2,1,1,0.5,1043017933
La Grange,Control,2,1,3,1,2,1,1021417931
La Grange,Control,0,0,14,4,0.8571429,0.4285714,1042017933
La Grange,Treatment,0,0,3,1,0,0,1061817957
La Grange,Control,0,0,7,2,0.6666667,0.3333333,1043417936
La Grange,Control,1,1,1,1,1,1,1042417946
La Grange,Treatment,0,0,14,2,0.5,0.3333333,1043217950
La Grange,Treatment,1,1,1,1,1,1,1043817947
La Grange,Control,0,0,14,6,0.8571429,0.4285714,1042017933
La Grange,Control,0,0,4,1,2,0.6666667,1042417928
La Grange,Control,0,0,9,3,0,0,1040617930
La Grange,Control,0,0,2,1,0,0,1043417946
La Grange,Control,2,1,3,1,2,1,1021417927
La Grange,Treatment,1,1,4,1,1.666667,0.6666667,1020817930
La Grange,Treatment,1,1,1,1,1,1,1043817946
La Grange,Control,2,1,14,2,3,1,1063017919
La Grange,Treatment,3,1,1,1,3,1,1020817942
La Grange,Treatment,4,1,1,1,4,1,1020817934
La Grange,Treatment,0,0,14,5,0.5,0.3333333,1043217950
La Grange,Treatment,0,0,1,1,0,0,1041417953
La Grange,Treatment,3,1,1,1,3,1,1041617940
La Grange,Control,4,1,2,1,3.5,1,1021417936
La Grange,Treatment,2,1,3,1,2,1,1020817939
La Grange,Control,0,0,1,1,0,0,1040417954
La Grange,Treatment,1,1,14,3,1.6,0.8,1041017920
La Grange,Control,0,0,4,3,0.3333333,0.3333333,1040217943
La Grange,Treatment,2,1,3,2,1.5,1,1043817931
La Grange,Control,2,1,48,1,1.52381,0.6190476,1041817907
La Grange,Control,4,1,48,6,1.52381,0.6190476,1041817907
La Grange,Control,0,0,3,1,0,0,1064417957
La Grange,Control,4,1,1,1,4,1,1021417942
La Grange,Treatment,0,0,7,2,0,0,1043817955
La Grange,Control,2,1,3,2,2,1,1021417931
La Grange,Control,4,1,14,1,4,1,1060417919
La Grange,Treatment,1,1,14,4,1.6,0.8,1041017920
La Grange,Treatment,1,1,3,1,0.3333333,0.3333333,1041617952
La Grange,Treatment,0,0,7,2,1,0.5,1040817953
La Grange,Control,0,0,9,5,0,0,1040617930
La Grange,Control,1,1,1,1,1,1,1020617931
La Grange,Control,1,1,1,1,1,1,1020417954
La Grange,Treatment,3,1,2,2,2.5,1,1041617948
La Grange,Treatment,0,0,3,1,0,0,1043617939
La Grange,Treatment,0,0,10,4,1,0.3333333,1041617930
La Grange,Control,0,0,4,3,0,0,1044217954
La Grange,Control,1,1,1,1,1,1,1020617945
La Grange,Treatment,1,1,1,1,1,1,1043217933
La Grange,Treatment,4,1,23,2,1.857143,0.7142857,1042217915
La Grange,Treatment,1,1,7,3,0.8333333,0.6666667,1043217943
La Grange,Treatment,0,0,7,4,1,0.5,1040817953
La Grange,Control,4,1,7,1,4,1,1044217933
La Grange,Treatment,2,1,14,5,1.625,0.625,1041017934
La Grange,Control,3,1,4,1,3.333333,1,1021817930
La Grange,Control,0,0,7,5,1,0.4,1044217940
La Grange,Control,1,1,1,1,1,1,1044217952
La Grange,Treatment,4,1,7,1,4,1,1064617923
La Grange,Control,0,0,1,1,0,0,1020417952
La Grange,Treatment,3,1,3,1,2.5,1,1043617943
La Grange,Control,5,1,1,1,5,1,1021617937
La Grange,Control,0,0,48,19,1.52381,0.6190476,1041817907
La Grange,Treatment,0,0,6,4,0.6,0.2,1020217951
La Grange,Control,0,0,7,1,1.142857,0.4285714,1044017947
La Grange,Treatment,1,1,14,4,0.5,0.3333333,1043217950
La Grange,Treatment,0,0,1,1,0,0,1020817943
La Grange,Treatment,2,1,1,1,2,1,1060817954
